Entity,Year,Country code,Total population (Gapminder),Life Expectancy (at birth) World Bank data,Health Expenditure and Financing (per capita)
Costa Rica,1979,CRI,2279362,71.96704878,
Costa Rica,1980,CRI,2343345,72.53287805,
Costa Rica,1981,CRI,2409385,73.05521951,
Costa Rica,1982,CRI,2477549,73.52507317,
Costa Rica,1983,CRI,2547555,73.94041463,
Costa Rica,1984,CRI,2619058,74.3002439,
Costa Rica,1985,CRI,2691778,74.60704878,
Costa Rica,1986,CRI,2765657,74.86985366,
Costa Rica,1987,CRI,2840660,75.10165854,
Costa Rica,1988,CRI,2916566,75.31597561,
Costa Rica,1989,CRI,2993136,75.52231707,
Costa Rica,1990,CRI,3070240,75.72668293,
Costa Rica,1991,CRI,3147451,75.93356098,
Costa Rica,1992,CRI,3224849,76.14195122,
Costa Rica,1993,CRI,3303412,76.35034146,
Costa Rica,1994,CRI,3384498,76.55873171,
Costa Rica,1995,CRI,3468918,76.76760976,
Costa Rica,1996,CRI,3557095,76.9754878,
Costa Rica,1997,CRI,3648263,77.17736585,
Costa Rica,1998,CRI,3740578,77.3732439,
Costa Rica,1999,CRI,3831504,77.55912195,
Costa Rica,2000,CRI,3919180,77.7344878,
Costa Rica,2001,CRI,4002946,77.89580488,
Costa Rica,2002,CRI,4083197,78.04409756,
Costa Rica,2003,CRI,4160438,78.18239024,
Costa Rica,2004,CRI,4235605,78.31417073,
Costa Rica,2005,CRI,4309413,78.44602439,
Costa Rica,2006,CRI,4381820,78.5845122,
Costa Rica,2007,CRI,4452608,78.73465854,
Costa Rica,2008,CRI,4522124,78.9004878,
Costa Rica,2009,CRI,4590790,79.0825122,
Costa Rica,2010,CRI,4658887,79.27970732,
Costa Rica,2011,CRI,4726575,79.48956098,
Costa Rica,2012,CRI,4793725,79.70502439,
Costa Rica,2013,CRI,4859957,79.921,
Cote d'Ivoire,1800,CIV,1088530,,
Cote d'Ivoire,1820,CIV,1088530,,
Cote d'Ivoire,1950,CIV,2630132,,
Cote d'Ivoire,1951,CIV,2708840,,
Cote d'Ivoire,1952,CIV,2793262,,
Cote d'Ivoire,1953,CIV,2882232,,
Cote d'Ivoire,1954,CIV,2975083,,
Cote d'Ivoire,1955,CIV,3071653,,
Cote d'Ivoire,1956,CIV,3172308,,
Cote d'Ivoire,1957,CIV,3277914,,
Cote d'Ivoire,1958,CIV,3389763,,
Cote d'Ivoire,1959,CIV,3509432,,
